도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
여가,Q31m15,문31. 2023년 방문한 여가공간(중복 응답),"56. 재래시장 (36명, 38.7%)","57. 아파트 내(집주변) 공터 (32명, 34.4%)","53. 수원화성(행궁, 행리단길, 화성성곽) (25명, 26.9%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m16,문31. 2023년 방문한 여가공간(중복 응답),"57. 아파트 내(집주변) 공터 (34명, 41.5%)","53. 수원화성(행궁, 행리단길, 화성성곽) (30명, 36.6%)","56. 재래시장 (18명, 22.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m17,문31. 2023년 방문한 여가공간(중복 응답),"57. 아파트 내(집주변) 공터 (27명, 51.9%)","56. 재래시장 (13명, 25.0%)","52. 차 없는 거리(나혜석 거리, 수원역 로데오거리) (12명, 23.1%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m18,문31. 2023년 방문한 여가공간(중복 응답),"51. 산(자연공원 포함) (12명, 38.7%)","53. 수원화성(행궁, 행리단길, 화성성곽) (10명, 32.3%)","58. 위에서 분류되지 않은 기타 실외공간 (9명, 29.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m19,문31. 2023년 방문한 여가공간(중복 응답),"52. 차 없는 거리(나혜석 거리, 수원역 로데오거리) (11명, 45.8%)","56. 재래시장 (7명, 29.2%)","53. 수원화성(행궁, 행리단길, 화성성곽) (6명, 25.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m2,문31. 2023년 방문한 여가공간(중복 응답),"25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등) (309명, 44.9%)","24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등) (197명, 28.6%)","10. 영화관 (182명, 26.5%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m20,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (11명, 52.4%)","57. 아파트 내(집주변) 공터 (5명, 23.8%)","51. 산(자연공원 포함) (5명, 23.8%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m21,문31. 2023년 방문한 여가공간(중복 응답),"52. 차 없는 거리(나혜석 거리, 수원역 로데오거리) (5명, 38.5%)","53. 수원화성(행궁, 행리단길, 화성성곽) (4명, 30.8%)","56. 재래시장 (4명, 30.8%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m22,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (5명, 45.5%)","56. 재래시장 (4명, 36.4%)","54. 근대거리(향교로, 구 경기도청 일원) (2명, 18.2%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m23,문31. 2023년 방문한 여가공간(중복 응답),"57. 아파트 내(집주변) 공터 (5명, 62.5%)","54. 근대거리(향교로, 구 경기도청 일원) (2명, 25.0%)","56. 재래시장 (1명, 12.5%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m24,문31. 2023년 방문한 여가공간(중복 응답),"58. 위에서 분류되지 않은 기타 실외공간 (3명, 50.0%)","57. 아파트 내(집주변) 공터 (2명, 33.3%)","56. 재래시장 (1명, 16.7%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m25,문31. 2023년 방문한 여가공간(중복 응답),"57. 아파트 내(집주변) 공터 (1명, 100.0%)",,,"01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m3,문31. 2023년 방문한 여가공간(중복 응답),"28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등) (227명, 36.3%)","25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등) (205명, 32.8%)","27. 쇼핑몰(백화점 등) (193명, 30.9%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
