질문번호,질문,1순위,2순위,3순위,답변항목 설명
q3_2_op,3-2. (기타 오픈응답),"nan (1587명, 100.0%)",,,
q4,"4. 민선8기 이재준 시장 취임 당시 가졌던 기대감과 현재 수원시정의 성과를 비교할 때, 취임당시 기대감 대비 현재 성과는 어떻습니까?","2 (622명, 39.2%)","1 (493명, 31.1%)","3 (240명, 15.1%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다 "
q5_1,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_1. 수원시는 정책을 만들고 실행하는 과정에서 시민, 시의회와의 소통을 원활히 하고 있다","6 (554명, 34.9%)","5 (498명, 31.4%)","4 (228명, 14.4%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_2,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_2. 수원시는 정책이 특정 집단에 치우치지 않고 모든 사람에게 공평하게 혜택을 주며, 차별을 방지하려고 노력하고 있다.","5 (454명, 28.6%)","6 (398명, 25.1%)","4 (316명, 19.9%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_3,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_3. 수원시는 정책 목표를 효과적으로 달성하고 있다","5 (432명, 27.2%)","6 (431명, 27.2%)","7 (287명, 18.1%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_4,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_4. 수원시 정책은 정책의 영향을 직접 받는 사람들에 잘 전달되고 있다","5 (532명, 33.5%)","6 (389명, 24.5%)","7 (269명, 17.0%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q5_5,"5. 귀하는 다음과 같은 측면에서 수원시의 시정 운영을 어떻게 평가하십니까? 
_5. 수원시는 위기 상황에서도 효과적으로 대처할 수 있는 역량을 갖추고 있다 ","5 (486명, 30.6%)","6 (441명, 27.8%)","4 (280명, 17.6%)","① 매우 낮게 평가 한다 
②
③
④ 보통이다
⑤
⑥
⑦ 매우 높게 평가 한다"
q6,6. 귀하는 수원시 의회의 의정활동 전반에 대해서 얼마나 만족하십니까? ,"5 (477명, 30.1%)","6 (470명, 29.6%)","4 (299명, 18.8%)","① 전혀 만족하지 못한다
②
③
④ 보통이다
⑤
⑥
⑦ 매우 만족한다"
q7,"7. 제12대 수원특례시의회 의정활동 시작 당시 가졌던 기대감과 현재 수원특례시의회의 성과를 비교할 때, 당시 기대감 대비 현재 성과는 어떻습니까?","2 (630명, 39.7%)","1 (474명, 29.9%)","3 (217명, 13.7%)","① 잘 할 것이라 기대했고, 기대한 만큼 대체로 잘 한다
② 별로 기대하지 않았는데, 기대 이상으로 잘 한다
③ 잘 할 것이라 기대했는데, 대체로 기대에 못 미친다
④ 별로 기대하지 않았고, 역시 잘 못한다
⑤ 잘 모르겠다 "
q8_1,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_1. [삶의 만족도] 선생님께서는 지금 살고 있는 지역의 생활에 만족하십니까? ","4 (894명, 56.3%)","3 (331명, 20.9%)","5 (271명, 17.1%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_2,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_2. [기초단체장 직무활동 평가] 선생님께서는 우리 지역의 이재준 시장이 일을 잘 한다고 생각하십니까?","4 (656명, 41.3%)","3 (456명, 28.7%)","5 (318명, 20.0%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_3,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_3. [경제활동 일자리] 선생님께서는 우리 지역 내에 원하는 일자리를 쉽게 구할 수 있고 노력한 만큼 소득을 창출할 수 있다고 생각하십니까?","4 (551명, 34.7%)","3 (512명, 32.3%)","5 (341명, 21.5%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_4,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_4. [복지] 선생님께서는 우리 지역 내 복지 시설이 충분하고 각종 복지 서비스도 좋다고 생각하십니까?","4 (703명, 44.3%)","3 (403명, 25.4%)","5 (340명, 21.4%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_5,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_5. [생활환경] 선생님께서는 우리 지역 내에 주택, 도로 등이 잘 정비되어 있고 대중교통 접근성도 편리하다고 생각하십니까?","4 (686명, 43.2%)","3 (383명, 24.1%)","5 (328명, 20.7%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_6,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_6. [교육] 선생님께서는 우리 지역의 초·중·고 학생들은 좋은 수준의 학교 교육을 받을 수 있고, 어른들도 교양 등 원하는 것을 배울 수 있는 평생교육 기회가 충분하다고 생각하십니까?","4 (705명, 44.4%)","3 (379명, 23.9%)","5 (372명, 23.4%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_7,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_7. [문화·체육] 선생님께서는 우리 지역의 문화·체육 시설과 프로그램이 만족스럽다고 생각하십니까?","4 (666명, 42.0%)","3 (438명, 27.6%)","5 (344명, 21.7%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_8,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_8. [안전] 선생님께서는 우리 지역의 자연재해 및 재난 대응, 치안 그리고 소방 등의 서비스가 만족스럽다고 생각하십니까?","4 (704명, 44.4%)","3 (423명, 26.7%)","5 (314명, 19.8%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q8_9,"8. 귀하는 다음의 내용에 얼마나 동의하십니까?. 
_9. [환경] 선생님께서는 우리 지역의 대기질, 수질, 쓰레기 및 폐기물처리 서비스 등이 만족스럽다고 생각하십니까?","4 (732명, 46.1%)","3 (466명, 29.4%)","5 (264명, 16.6%)","① 전혀 동의하지 않는다
② 동의하지 않는다
③ 보통이다
④ 동의한다  
⑤ 매우 동의한다"
q9,9. 귀하가 수원에 거주한 기간은 얼마나 되십니까? ,"5 (1007명, 63.5%)","4 (393명, 24.8%)","3 (130명, 8.2%)","① 1년 미만					
② 1년 이상 ~ 3년 미만
③ 3년 이상 ~ 5년 미만			
④ 5년 이상 ~ 10년 미만
⑤ 10년 이상"
q10,10. 현재 귀하가 느끼는 수원시의 이미지는 어떤가요? ,"1 (459명, 28.9%)","2 (283명, 17.8%)","4 (269명, 17.0%)","① 역사와 전통이 살아 있는 도시
② 첨단 산업이 발달한 도시
③ 교육·문화 인프라가 좋은 도시
④ 주거와 교통이 편리한 도시
⑤ 활기찬 상업과 소비 도시
⑥ 행정 중심 도시 (특례시, 도청 등)
⑦ 환경 친화적이고 살기 좋은 도시
⑧ 기타 (          )"
q10_op,10. (기타 오픈응답),"nan (1577명, 99.4%)","삼성전자 (1명, 0.1%)","인구 밀도가 너무 높고, 구도심의 느낌. (1명, 0.1%)",
q11,11. 수원시의 현재 도시 이미지를 어떻게 평가하십니까?,"2 (858명, 54.1%)","1 (367명, 23.1%)","3 (283명, 17.8%)","① 매우 긍정적이다
② 대체로 긍정적이다
③ 보통이다
④ 다소 부정적이다
⑤ 매우 부정적이다"
q12_1_1,"12. 1949년 시 승격 이후, 수원의 도시 발전에 가장 큰 영향을 준 장면 또는 변화는 무엇이라고 생각하시나요? 각 시기별로 2개를 선택해 주십시오. 
_1. 2000년 이전 (1순위)","2 (471명, 29.7%)","1 (287명, 18.1%)","3 (244명, 15.4%)","① 경기도청 이전(1967년)
② 삼성전자 수원사업장 설립(1969년)
③ 신갈 IC(수원 IC) 개통(1968년) 및 경부고속도로 개통(1970년)
④ 수도권 전철 1호선 수원역 연장(1974년)
⑤ 행정구(區)제 실시(1988년 장안구, 권선구, 1993년 팔달구, 2003년 영통구)
⑥ 동수원(인계동과 매탄동 일대) 개발(1988년)
⑦ 환경기초시설 설치(공공하수처리시설, 자원회수시설 등)(1990년대)
⑧ 영통 신도시 개발(1990년대 중반)
⑨ 2095 수원발전기획단, 수원미래 100주년 기획(1995년)
⑩ 수원화성 세계문화유산 등재(1997년)
⑪ 수원연화장 설치(1997-2001년)
⑫ 아름다운 화장실 운동(1999년)"
q12_1_2,"12. 1949년 시 승격 이후, 수원의 도시 발전에 가장 큰 영향을 준 장면 또는 변화는 무엇이라고 생각하시나요? 각 시기별로 2개를 선택해 주십시오. 
_1. 2000년 이전 (2순위)","3 (216명, 13.6%)","10 (188명, 11.8%)","5 (184명, 11.6%)","① 경기도청 이전(1967년)
② 삼성전자 수원사업장 설립(1969년)
③ 신갈 IC(수원 IC) 개통(1968년) 및 경부고속도로 개통(1970년)
④ 수도권 전철 1호선 수원역 연장(1974년)
⑤ 행정구(區)제 실시(1988년 장안구, 권선구, 1993년 팔달구, 2003년 영통구)
⑥ 동수원(인계동과 매탄동 일대) 개발(1988년)
⑦ 환경기초시설 설치(공공하수처리시설, 자원회수시설 등)(1990년대)
⑧ 영통 신도시 개발(1990년대 중반)
⑨ 2095 수원발전기획단, 수원미래 100주년 기획(1995년)
⑩ 수원화성 세계문화유산 등재(1997년)
⑪ 수원연화장 설치(1997-2001년)
⑫ 아름다운 화장실 운동(1999년)"
q12_2_1,"1949년 시 승격 이후, 수원의 도시 발전에 가장 큰 영향을 준 장면 또는 변화는 무엇이라고 생각하시나요? 각 시기별로 2개를 선택해 주십시오. 
_2. 2000년 이후 (1순위)","5 (310명, 19.5%)","2 (240명, 15.1%)","3 (227명, 14.3%)","① 월드컵 경기장 유치 및 2002 한일 월드컵 개최(2002년)
② 평생학습도시 지정(2005년) 및 수원시 평생학습관 설립(2011년)
③ 수원산업단지(델타플렉스) 조성(2006-2016년)
④ 수원천 생태하천복원(2007-2012년)
⑤ 광교신도시 개발(2007년) 및 입주(2011년)
⑥ 프로야구 제10구단(KT Wiz) 유치(2013년)
⑦ 시민참여형 도시기본계획 수립(2013년, 2025년)
⑧ 생태교통 수원 2013(행궁동 차없는 마을)(2013년)
⑨ 수원분당선 연장 개통(2013년), 신분당선 개통(2016년)
⑩ 수원컨벤션센터 개관(2019년)
⑪ 수원시 북부순환도로 개통(2020년)
⑫ 수원특례시 지정(2022년)
⑬ 수원(일월, 영흥) 수목원 개장(2023년)"
q12_2_2,"1949년 시 승격 이후, 수원의 도시 발전에 가장 큰 영향을 준 장면 또는 변화는 무엇이라고 생각하시나요? 각 시기별로 2개를 선택해 주십시오. 
_2. 2000년 이후 (2순위)","9.0 (238명, 15.0%)","5.0 (218명, 13.7%)","12.0 (143명, 9.0%)","① 월드컵 경기장 유치 및 2002 한일 월드컵 개최(2002년)
② 평생학습도시 지정(2005년) 및 수원시 평생학습관 설립(2011년)
③ 수원산업단지(델타플렉스) 조성(2006-2016년)
④ 수원천 생태하천복원(2007-2012년)
⑤ 광교신도시 개발(2007년) 및 입주(2011년)
⑥ 프로야구 제10구단(KT Wiz) 유치(2013년)
⑦ 시민참여형 도시기본계획 수립(2013년, 2025년)
⑧ 생태교통 수원 2013(행궁동 차없는 마을)(2013년)
⑨ 수원분당선 연장 개통(2013년), 신분당선 개통(2016년)
⑩ 수원컨벤션센터 개관(2019년)
⑪ 수원시 북부순환도로 개통(2020년)
⑫ 수원특례시 지정(2022년)
⑬ 수원(일월, 영흥) 수목원 개장(2023년)"
q13_1,"13. 귀하가 생각하기에 수원시 도시 발전에 가장 큰 영향을 미쳤다고 생각하는 세 가지를 우선순위에 따라 선택해 주세요(1순위가 가장 영향력이 크다고 판단되는 항목입니다.)  
(1순위)","2 (376명, 23.7%)","3 (194명, 12.2%)","4 (175명, 11.0%)","① 경기도청 이전
② 삼성전자 수원사업장 설립
③ 신갈 IC(수원 IC) 개통 및 경부고속도로 개통
④ 수도권 전철 1호선 수원역 연장
⑤ 행정구(區)제 실시(장안구, 권선구, 팔달구, 영통구)
⑥ 동수원(인계동과 매탄동 일대) 개발
⑦ 환경기초시설 설치(공공하수처리시설, 자원회수시설 등)
⑧ 영통 신도시 개발
⑨ 2095 수원발전기획단, 수원미래 100주년 기획
⑩ 수원화성 세계문화유산 등재
⑪ 수원연화장 설치
⑫ 아름다운 화장실 운동
⑬ 월드컵 경기장 유치 및 2002 한일 월드컵 개최
⑭ 평생학습도시 지정 및 수원시 평생학습관 설립
⑮ 수원산업단지(델타플렉스) 조성
⑯ 수원천 생태하천복원
⑰ 광교신도시 개발 및 입주
⑱ 프로야구 제10구단(KT Wiz) 유치
⑲ 시민참여형 도시기본계획 수립
⑳ 생태교통 수원 2013(행궁동 차없는 마을)
㉑ 수원분당선 연장 개통, 신분당선 개통
㉒ 수원컨벤션센터 개관
㉓ 수원시 북부순환도로 개통
㉔ 수원특례시 지정
㉕ 수원(일월, 영흥) 수목원 개장"
q13_2,"13. 귀하가 생각하기에 수원시 도시 발전에 가장 큰 영향을 미쳤다고 생각하는 세 가지를 우선순위에 따라 선택해 주세요(1순위가 가장 영향력이 크다고 판단되는 항목입니다.)  
(2순위)","3 (155명, 9.8%)","4 (146명, 9.2%)","2 (135명, 8.5%)","① 경기도청 이전
② 삼성전자 수원사업장 설립
③ 신갈 IC(수원 IC) 개통 및 경부고속도로 개통
④ 수도권 전철 1호선 수원역 연장
⑤ 행정구(區)제 실시(장안구, 권선구, 팔달구, 영통구)
⑥ 동수원(인계동과 매탄동 일대) 개발
⑦ 환경기초시설 설치(공공하수처리시설, 자원회수시설 등)
⑧ 영통 신도시 개발
⑨ 2095 수원발전기획단, 수원미래 100주년 기획
⑩ 수원화성 세계문화유산 등재
⑪ 수원연화장 설치
⑫ 아름다운 화장실 운동
⑬ 월드컵 경기장 유치 및 2002 한일 월드컵 개최
⑭ 평생학습도시 지정 및 수원시 평생학습관 설립
⑮ 수원산업단지(델타플렉스) 조성
⑯ 수원천 생태하천복원
⑰ 광교신도시 개발 및 입주
⑱ 프로야구 제10구단(KT Wiz) 유치
⑲ 시민참여형 도시기본계획 수립
⑳ 생태교통 수원 2013(행궁동 차없는 마을)
㉑ 수원분당선 연장 개통, 신분당선 개통
㉒ 수원컨벤션센터 개관
㉓ 수원시 북부순환도로 개통
㉔ 수원특례시 지정
㉕ 수원(일월, 영흥) 수목원 개장"
q13_3,"13. 귀하가 생각하기에 수원시 도시 발전에 가장 큰 영향을 미쳤다고 생각하는 세 가지를 우선순위에 따라 선택해 주세요(1순위가 가장 영향력이 크다고 판단되는 항목입니다.)  
(3순위)","4 (131명, 8.3%)","24 (117명, 7.4%)","21 (112명, 7.1%)","① 경기도청 이전
② 삼성전자 수원사업장 설립
③ 신갈 IC(수원 IC) 개통 및 경부고속도로 개통
④ 수도권 전철 1호선 수원역 연장
⑤ 행정구(區)제 실시(장안구, 권선구, 팔달구, 영통구)
⑥ 동수원(인계동과 매탄동 일대) 개발
⑦ 환경기초시설 설치(공공하수처리시설, 자원회수시설 등)
⑧ 영통 신도시 개발
⑨ 2095 수원발전기획단, 수원미래 100주년 기획
⑩ 수원화성 세계문화유산 등재
⑪ 수원연화장 설치
⑫ 아름다운 화장실 운동
⑬ 월드컵 경기장 유치 및 2002 한일 월드컵 개최
⑭ 평생학습도시 지정 및 수원시 평생학습관 설립
⑮ 수원산업단지(델타플렉스) 조성
⑯ 수원천 생태하천복원
⑰ 광교신도시 개발 및 입주
⑱ 프로야구 제10구단(KT Wiz) 유치
⑲ 시민참여형 도시기본계획 수립
⑳ 생태교통 수원 2013(행궁동 차없는 마을)
㉑ 수원분당선 연장 개통, 신분당선 개통
㉒ 수원컨벤션센터 개관
㉓ 수원시 북부순환도로 개통
㉔ 수원특례시 지정
㉕ 수원(일월, 영흥) 수목원 개장"
q14,14. 귀하가 생각하시기에 2040년 수원의 미래 발전을 위해 가장 중요한 사업이 무엇이라고 생각하십니까?,"3 (394명, 24.8%)","6 (318명, 20.0%)","10 (131명, 8.3%)","① 서수원 경제자유구역 지정
② 수도권 규제 개선
③ 환상형 첨단과학 혁신클러스터 조성(수원 R&D 사이언스 파크, 탑동이노베이션밸리, 북수원테크노밸리, 우만테크노밸리, 광교테크노밸리, 델타플렉스)
④ 수원 군공항 이전
⑤ 역세권 고밀도 복합개발 
⑥ 광역철도망 구축(신분당선(광교~호매실), 동탄인덕원복선전철, GTX-C, 경기남부광역철도, 수원발 KTX 직결 등 )
⑦ 인접도시(화성, 오산, 용인, 평택 등)와 광역 연합·통합 추진
⑧ 지역대학(성균관대, 아주대, 경기대 등) 연계 캠퍼스타운 조성
⑨ 새빛펀드·융자 등 첨단기업유치
⑩ 노후도시 재개발·재건축
⑪ 종합운동장 스포츠 복합시설 조성
⑫ 수원형 통합돌봄서비스 새빛돌봄
⑬ 수원형 저층 주거지 집수리 지원, 새빛하우스
⑭ 탄소중립그린도시 조성
⑮ 마을공터, 유휴지, 자투리 땅 등 손바닥 정원 조성
⑯ 기타(                                    )    "
q14_op,14. (기타 오픈응답),"nan (1584명, 99.8%)","굉교역세권 개발 (1명, 0.1%)","지역난방센터 이전 후 문화 및 생태환경시설 조성 (1명, 0.1%)",
q15,15. 귀하께서는 ‘글로벌 첨단 과학 연구 도시’라고 했을 때 어떤 이미지가 가장 먼저 떠오르시나요? 가장 가까운 항목을 선택해 주세요. ,"3 (445명, 28.0%)","2 (336명, 21.2%)","5 (307명, 19.3%)","① 첨단 연구소와 대학이 집적된 과학기술 혁신 도시
② 세계 각국의 과학자와 기업이 모여 연구·교류하는 국제 과학 허브 도시
③ AI, 데이터 등 과학기술 기반의 지속가능한 스마트 도시
④ 청년 인재와 스타트업이 활발히 활동하는 창업 중심 도시
⑤ 반도체·바이오 등 첨단산업이 성장하는 산업 중심 도시
⑥ 외국인 방문과 글로벌 교류가 활발한 국제 친화 도시
⑦ 기타(                         )"
q15_op,15. (기타 오픈응답),"nan (1587명, 100.0%)",,,
q16,16. 귀하께서는 수원이 ‘글로벌 첨단 과학 연구 도시’ 가 되기 위해 다음 중 무엇을 가장 우선적으로 투자해야 한다고 생각하십니까?,"4 (277명, 17.5%)","2 (247명, 15.6%)","3 (242명, 15.2%)","① 공공 안전 강화 (예: 범죄예방, 재난 대응 체계 등)
② 환경 보호 및 개선 (예: 녹지 확대, 미세먼지 저감, 친환경 교통 등)
③ 문화 및 예술 지원 (예: 지역 축제, 공연장·전시 공간 확대 등)
④ 교통 및 인프라 개선 (예: 대중교통 확충, 도로 체계 개선 등)
⑤ 공항 접근성 개선 및 수원군공항 이전 추진
⑥ 광역 교통망 확충 (예: 신분당선 연장, 신수원선, GTX 등)
⑦ 도시 경관 및 야간 경관 개선 (예: 수원천·화성 주변 경관 조명 등)
⑧ 청년과 가족을 위한 정주 여건 개선 (예: 주거, 일자리, 육아 환경 등)
⑨ 도시 브랜드 및 국제 교류 활성화 (예: 해외 도시와의 자매결연, 국제 행사 유치 등)
⑩ 스마트 도시 기반 확대 (예: 디지털 행정, 자율주행 인프라 등)
⑪ 기타 (            )"
q16_op,16. (기타 오픈응답),"nan (1583명, 99.7%)","AI관련 경쟁력있는 기업에 투자 (1명, 0.1%)","해외에서 온 연구원 및 그 가족들의 한국 정착 프로그램 활성화 (1명, 0.1%)",
q17,17. 귀하는 수원시민이라는 사실에 대해 자부심을 느끼십니까?,"2 (772명, 48.6%)","1 (387명, 24.4%)","3 (306명, 19.3%)","① 매우 자부심을 느낀다(17-1로 이동)
② 어느 정도 자부심을 느낀다 (17-1로 이동)
③ 보통이다
④ 크게 느끼지 않는다
⑤ 전혀 느끼지 않는다"
q17_1,17-1. 자부심을 느끼는 이유는 무엇인가요? ,"nan (428명, 27.0%)","1.0 (338명, 21.3%)","2.0 (296명, 18.7%)","① 수원화성 등 뛰어난 역사·문화유산
② 삼성전자 등 글로벌 기업의 본사 위치
③ 다양한 문화예술, 스포츠 인프라
④ 교육환경 및 학군
⑤ 살기 좋은 주거환경과 교통 인프라
⑥ 특별시·광역시 못지않은 행정서비스
⑦ 기타(          )"
q17_1_op,17-1. (기타 오픈응답),"nan (1581명, 99.6%)","내가 태어나서 자라고 사는 나의 도시 (1명, 0.1%)","살기 좋은 주거환경 전적 동의, 서울로 향하는 교통 인프라 구축은 잘 되어있으나 수원 내 이동을 위한 교통 인프라는 미흡 (1명, 0.1%)",
q18_1,"18. 귀하는 다음과 같이 다른 문화적 배경을 가진 이웃과 함께 사는 것에 대해 괜찮다고 생각하십니까? 
_1. 인종이 다른 사람들","1 (1035명, 65.2%)","2 (311명, 19.6%)","3 (241명, 15.2%)","① 네
② 아니요
③ 확실히 모르겠다"
q18_2,"18. 귀하는 다음과 같이 다른 문화적 배경을 가진 이웃과 함께 사는 것에 대해 괜찮다고 생각하십니까? 
_2. 이민자 또는 외국인 근로자","1 (959명, 60.4%)","2 (364명, 22.9%)","3 (264명, 16.6%)","① 네
② 아니요
③ 확실히 모르겠다"
q18_3,"18. 귀하는 다음과 같이 다른 문화적 배경을 가진 이웃과 함께 사는 것에 대해 괜찮다고 생각하십니까? 
_3. 종교가 다른 사람들","1 (1033명, 65.1%)","2 (277명, 17.5%)","3 (277명, 17.5%)","① 네
② 아니요
③ 확실히 모르겠다"
q19_1,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (첫째자리)","2 (983명, 61.9%)","1 (326명, 20.5%)","4 (84명, 5.3%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_2,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (둘째자리)","nan (624명, 39.3%)","4.0 (539명, 34.0%)","8.0 (193명, 12.2%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
q19_3,"19. 다음 중 귀하께서 이웃으로 삼고 싶지 않은 집단이 있으십니까? 있다면 모두 선택해 주십시오.
(중복응답) (셋째자리)","nan (916명, 57.7%)","6.0 (241명, 15.2%)","8.0 (202명, 12.7%)","① 없음
② 약물 중독자
③ 인종이 다른 사람
④ 에이즈 감염자
⑤ 이민자 또는 외국인 근로자
⑥ 동성애자
⑦ 종교가 다른 사람
⑧ 음주 사고가 잦은 사람
⑨ 결혼하지 않고 함께 사는 커플
⑩ 새터민
⑪ 기타 (            )"
