도메인,질문번호,질문,1순위 답변,2순위 답변,3순위 답변,답변항목 설명
도시 이미지·정체성,Q22a2,문22. 수원시 환경문제 수준 - 2. 기후변화/이상기온,"⑤ (672명, 41.5%)","⑥ (502명, 31.0%)","④보통 (447명, 27.6%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
도시 이미지·정체성,Q22a3,문22. 수원시 환경문제 수준 - 3. 대기오염/미세먼지,"⑤ (665명, 44.2%)","④보통 (461명, 30.6%)","⑥ (379명, 25.2%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
도시 이미지·정체성,Q22a4,문22. 수원시 환경문제 수준 - 4. 녹지/생물다양성,"⑤ (815명, 45.2%)","④보통 (498명, 27.6%)","⑥ (489명, 27.1%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
도시 이미지·정체성,Q22a5,문22. 수원시 환경문제 수준 - 5. 하천/호수 수질,"⑤ (875명, 48.2%)","④보통 (515명, 28.4%)","⑥ (425명, 23.4%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
도시 이미지·정체성,Q22a6,문22. 수원시 환경문제 수준 - 6. 소음/진동,"⑤ (880명, 49.0%)","④보통 (689명, 38.3%)","⑥ (228명, 12.7%)","①매우 나쁘다
②
③
④보통
⑤
⑥
⑦매우 좋다
나쁨
보통
좋음
모름/무응답"
도시 이미지·정체성,Q24a1,"문24. 환경보호를 위한 효과적인 방법 - 1. 수원시, 기업, 시민 등 개별 주체의 자발적 노력","⑤ (947명, 48.9%)","⑥ (683명, 35.3%)","④보통 (305명, 15.8%)","①전혀 효과적이지 않다
②
③
④보통
⑤
⑥
⑦매우 효과적이다
비효과적
보통
효과적
모름/무응답"
정책 인지도·만족도(체감도),Q25,문25. 근처 녹지 만족도,"④다소 만족한다 (958명, 50.2%)","③보통이다 (783명, 41.0%)","⑤매우 만족한다 (167명, 8.8%)","①매우 불만족한다
②다소 불만족한다
③보통이다
④다소 만족한다
⑤매우 만족한다
불만족
보통
만족
모름/무응답"
도시 이미지·정체성,Q26,문26. 자주 이용하는 도시공원 및 녹지,"도시공원(광교호수공원, 만석공원 등) (733명, 42.2%)","선형 산책로(하천변, 가로수 등) (550명, 31.7%)","소공원 등 (454명, 26.1%)","산림(광교산 등)
선형 산책로(하천변, 가로수 등)
도시공원(광교호수공원, 만석공원 등)
어린이공원
소공원 등
기타"
도시 이미지·정체성,Q26op,문26. 자주 이용하는 도시공원 및 녹지_기타,"없다 (2명, 40.0%)","없음 (2명, 40.0%)","학교 (1명, 20.0%)",
도시 이미지·정체성,Q27,문27. 도시공원 및 녹지 이용 빈도,"1개월에 1~3회 (941명, 50.8%)","1주일에 1~3회 (478명, 25.8%)","6개월에 1~3회 (433명, 23.4%)","매일(주4회 이상)
1주일에 1~3회
1개월에 1~3회
6개월에 1~3회
1년에 1~3회
기타"
도시 이미지·정체성,Q28,문28. 수원시 환경교육 및 체험활동 참여 여부,"없다 (1988명, 97.4%)","있다 (53명, 2.6%)",,"있다
없다"
도시 이미지·정체성,Q28_1m1,문28-1. 수원시 환경교육 및 체험활동 참여 내용(중복 응답),"생태환경(숲, 물, 생물 등) (26명, 52.0%)","기후위기 및 탄소중립(자원순환) (13명, 26.0%)","환경보건(친환경먹거리, 아토피 등) (11명, 22.0%)","생태환경(숲, 물, 생물 등)
기후위기 및 탄소중립(자원순환)
환경보건(친환경먹거리, 아토피 등)
환경문화(폐목재만들기 등)
기타"
도시 이미지·정체성,Q28_1m2,문28-1. 수원시 환경교육 및 체험활동 참여 내용(중복 응답),"환경보건(친환경먹거리, 아토피 등) (3명, 50.0%)","환경문화(폐목재만들기 등) (2명, 33.3%)","기후위기 및 탄소중립(자원순환) (1명, 16.7%)","생태환경(숲, 물, 생물 등)
기후위기 및 탄소중립(자원순환)
환경보건(친환경먹거리, 아토피 등)
환경문화(폐목재만들기 등)
기타"
도시 이미지·정체성,Q29m1,문29. 수원의 매력적인 장소(주관식),"수원화성 (338명, 43.9%)","광교호수공원 (239명, 31.0%)","호수공원 (193명, 25.1%)",
도시 이미지·정체성,Q29m2,문29. 수원의 매력적인 장소(주관식),"광교호수공원 (534명, 51.2%)","수원화성 (410명, 39.3%)","아쿠아플라넷 (98명, 9.4%)","◎ 산/공원/호수/농장
청명산
광교산
숙지산
칠보산
팔달산
광교산 하광교소류지
광교호수공원
노송공원
서호공원
서호꽃뫼공원
두레뜰공원
두물맞이공원
만석공원
매여울 근린공원
인계예술공원
효원공원
매화공원
머내생태공원
매탄공원
사색공원
수원 어울림공원
실개울공원
광교역사공원
일월공원
정자공원
팔달공원
반석공원
달누리수변공원
당수 체육공원
프라이부르크 전망대
효원공원 월화원
광교저수지
만석거
신대호수
서호천
수원천
용연호수
원천호수
일월저수지
황구지천
수원포시즌힐링팜
수원탑동시민농장
장안농원
정수농장
일월수목원
영흥수목원
◎ 유적지/문화재
대릉원
방화수류정(동북각루)
서장대
수원행궁
수원화성
창룡문
연무대
장안문
정조대왕동상
팔달문
화서문
낙성대
화홍문
동장대
축만재
◎ 체험관/박물관/도서관/경기장
광교 어린이 천문대
삼성이노베이션뮤지엄
수원시립미술관
수원화성박물관
광교 박물관
해우재
경기아트센터
아쿠아플라넷
플라잉수원
수원 어린이교통공원
광교호수 캠핑장
수원야외음악당
슬기샘어린이도서관
중앙도서관
영통 도서관
월드컵경기장
종합운동장
농구장 kt아레나
체육공원
◎ 시장/쇼핑
수원시장
농수산물도매시장
수원영동시장
11번가시장
지동시장
영동시장
팔달문 시장
갤러리아 백화점
롯데아울렛
스타필드
수원역 도토리숲
◎ 테마마을/거리
행궁동 벽화마을
외국인 테마마을
나혜석거리
행궁동 차없는 거리
행리단길
경안당 한옥카페
신동카페거리
광교 카페거리
행궁동 카페거리
수원통닭거리
수원역 로데오거리
공방거리
테마파크(영화 등)
◎ 기타
광교동
인계동
경기도청
수원 고물상
한옥마을
없음
모름"
도시 이미지·정체성,Q29m3,문29. 수원의 매력적인 장소(주관식),"프라이부르크 전망대 (2명, 40.0%)","광교호수공원 (2명, 40.0%)","경기아트센터 (1명, 20.0%)","◎ 산/공원/호수/농장
청명산
광교산
숙지산
칠보산
팔달산
광교산 하광교소류지
광교호수공원
노송공원
서호공원
서호꽃뫼공원
두레뜰공원
두물맞이공원
만석공원
매여울 근린공원
인계예술공원
효원공원
매화공원
머내생태공원
매탄공원
사색공원
수원 어울림공원
실개울공원
광교역사공원
일월공원
정자공원
팔달공원
반석공원
달누리수변공원
당수 체육공원
프라이부르크 전망대
효원공원 월화원
광교저수지
만석거
신대호수
서호천
수원천
용연호수
원천호수
일월저수지
황구지천
수원포시즌힐링팜
수원탑동시민농장
장안농원
정수농장
일월수목원
영흥수목원
◎ 유적지/문화재
대릉원
방화수류정(동북각루)
서장대
수원행궁
수원화성
창룡문
연무대
장안문
정조대왕동상
팔달문
화서문
낙성대
화홍문
동장대
축만재
◎ 체험관/박물관/도서관/경기장
광교 어린이 천문대
삼성이노베이션뮤지엄
수원시립미술관
수원화성박물관
광교 박물관
해우재
경기아트센터
아쿠아플라넷
플라잉수원
수원 어린이교통공원
광교호수 캠핑장
수원야외음악당
슬기샘어린이도서관
중앙도서관
영통 도서관
월드컵경기장
종합운동장
농구장 kt아레나
체육공원
◎ 시장/쇼핑
수원시장
농수산물도매시장
수원영동시장
11번가시장
지동시장
영동시장
팔달문 시장
갤러리아 백화점
롯데아울렛
스타필드
수원역 도토리숲
◎ 테마마을/거리
행궁동 벽화마을
외국인 테마마을
나혜석거리
행궁동 차없는 거리
행리단길
경안당 한옥카페
신동카페거리
광교 카페거리
행궁동 카페거리
수원통닭거리
수원역 로데오거리
공방거리
테마파크(영화 등)
◎ 기타
광교동
인계동
경기도청
수원 고물상
한옥마을
없음
모름"
여가,Q30,문30. 외부 여가활동 이용 빈도,"한 달에 2~3번 (872명, 49.1%)","일주일에 몇 번, 매일은 아님 (523명, 29.5%)","한달에 1번 (380명, 21.4%)","매일
일주일에 몇 번, 매일은 아님
한 달에 2~3번
한달에 1번
몇 달에 1번
기타"
여가,Q30op,문30. 외부 여가활동 이용 빈도_기타,"없습니다 (1명, 100.0%)",,,
여가,Q31m1,문31. 2023년 방문한 여가공간(중복 응답),"10. 영화관 (490명, 52.8%)","24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등) (293명, 31.6%)","09. 공연장 (145명, 15.6%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m10,문31. 2023년 방문한 여가공간(중복 응답),"46. 생활권공원(근린공원，소공원，어린이공원 등) (109명, 42.7%)","53. 수원화성(행궁, 행리단길, 화성성곽) (73명, 28.6%)","57. 아파트 내(집주변) 공터 (73명, 28.6%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m11,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (70명, 34.5%)","47. 주제공원(역사공원, 수변공원, 체육공원 등) (67명, 33.0%)","46. 생활권공원(근린공원，소공원，어린이공원 등) (66명, 32.5%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
여가,Q31m12,문31. 2023년 방문한 여가공간(중복 응답),"53. 수원화성(행궁, 행리단길, 화성성곽) (64명, 35.6%)","57. 아파트 내(집주변) 공터 (62명, 34.4%)","56. 재래시장 (54명, 30.0%)","01. 문예회관
02. 지방문화원
03. 문화의집
04. 생활문화센터
05. 사설문화센터
06. 미술관
07. 박물관·전시관
08. 기념관
09. 공연장
10. 영화관
11. 도서관·대형서점
12. 행정복지센터
13. 여성회관
14. 사회복지관
15. 노인복지관
16. 평생학습관
17. 학교시설
18. 학원(어학，기술，자격증 취득 등)
19. 노래방
20. PC방(복합멀티게임방)
21. 만화방
22. 오락장(아케이드게임방, 보드게임방 등)
23. 클럽(댄스포함)
24. 목욕시설(목욕탕, 찜질방, 사우나, 온천 등)
25. 미용관리실(피부관리, 네일아트, 마사지, 헤어숍 등)
26. 수족관(아쿠아리움)
27. 쇼핑몰(백화점 등)
28. 카페(커피숍, 방탈출, VR카페, 이색테마카페 등)
29. 대형마트
30. 식당(패밀리레스토랑, 주점 등)
31. 국민체육센터(주민체육센터 등)
32. 청소년수련관
33. 복합체육관
34. 헬스클럽
35. 골프연습장(스크린골프장)
36. 수영장
37. 당구장, 탁구장, 볼링장
38. 빙상경기장(아이스링크)
39. 기타 실내 체육시설
40. 종교시설(교회, 절, 성당 등)
41. 위에서 분류되지 않은 기타 실내시설
42. 운동경기장（축구, 농구，야구 등）
43. 학교운동장
44. 골프장
45. 기타 실외 체육시설
46. 생활권공원(근린공원，소공원，어린이공원 등)
47. 주제공원(역사공원, 수변공원, 체육공원 등)
48. 산림욕장
49. 식물원
50. 캠핑장
51. 산(자연공원 포함)
52. 차 없는 거리(나혜석 거리, 수원역 로데오거리)
53. 수원화성(행궁, 행리단길, 화성성곽)
54. 근대거리(향교로, 구 경기도청 일원)
55. 구 농촌진흥청 서울대학교 농생대(서호일원, 상상캠퍼스)
56. 재래시장
57. 아파트 내(집주변) 공터
58. 위에서 분류되지 않은 기타 실외공간"
